instance,iterations,success
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,2729,True
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,522,True
5uf50-1050-1.cnf,2026,True
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,423,True
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,582,True
5uf50-1050-1.cnf,452,True
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,50,True
5uf50-1050-1.cnf,4300,True
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,1421,True
5uf50-1050-1.cnf,939,True
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,2000,True
5uf50-1050-1.cnf,3696,True
5uf50-1050-1.cnf,1715,True
5uf50-1050-1.cnf,1977,True
5uf50-1050-1.cnf,3714,True
5uf50-1050-1.cnf,531,True
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,57,True
5uf50-1050-1.cnf,123,True
5uf50-1050-1.cnf,1692,True
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,4296,True
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,1581,True
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,956,True
5uf50-1050-1.cnf,3833,True
5uf50-1050-1.cnf,2062,True
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,193,True
5uf50-1050-1.cnf,2688,True
5uf50-1050-1.cnf,1614,True
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,1604,True
5uf50-1050-1.cnf,1736,True
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,967,True
5uf50-1050-1.cnf,1261,True
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,1539,True
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,936,True
5uf50-1050-1.cnf,131,True
5uf50-1050-1.cnf,1415,True
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,2723,True
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,172,True
5uf50-1050-1.cnf,4359,True
5uf50-1050-1.cnf,4648,True
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,1158,True
5uf50-1050-1.cnf,198,True
5uf50-1050-1.cnf,1528,True
5uf50-1050-1.cnf,450,True
5uf50-1050-1.cnf,3454,True
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,4223,True
5uf50-1050-1.cnf,2089,True
5uf50-1050-1.cnf,3711,True
5uf50-1050-1.cnf,2572,True
5uf50-1050-1.cnf,3714,True
5uf50-1050-1.cnf,5000,False
5uf50-1050-1.cnf,661,True
5uf50-1050-1.cnf,546,True
5uf50-1050-1.cnf,996,True
