instance,iterations,success
ruf75-320-134.cnf,4612,True
ruf75-320-134.cnf,81,True
ruf75-320-134.cnf,2268,True
ruf75-320-134.cnf,1178,True
ruf75-320-134.cnf,1105,True
ruf75-320-134.cnf,213,True
ruf75-320-134.cnf,217,True
ruf75-320-134.cnf,1492,True
ruf75-320-134.cnf,190,True
ruf75-320-134.cnf,5000,False
ruf75-320-134.cnf,1331,True
ruf75-320-134.cnf,106,True
ruf75-320-134.cnf,5000,False
ruf75-320-134.cnf,521,True
ruf75-320-134.cnf,1443,True
ruf75-320-134.cnf,602,True
ruf75-320-134.cnf,5000,False
ruf75-320-134.cnf,964,True
ruf75-320-134.cnf,187,True
ruf75-320-134.cnf,296,True
ruf75-320-134.cnf,789,True
ruf75-320-134.cnf,5000,False
ruf75-320-134.cnf,615,True
ruf75-320-134.cnf,5000,False
ruf75-320-134.cnf,1177,True
ruf75-320-134.cnf,1380,True
ruf75-320-134.cnf,2153,True
ruf75-320-134.cnf,430,True
ruf75-320-134.cnf,2146,True
ruf75-320-134.cnf,4211,True
ruf75-320-134.cnf,1191,True
ruf75-320-134.cnf,1818,True
ruf75-320-134.cnf,657,True
ruf75-320-134.cnf,685,True
ruf75-320-134.cnf,516,True
ruf75-320-134.cnf,870,True
ruf75-320-134.cnf,149,True
ruf75-320-134.cnf,2793,True
ruf75-320-134.cnf,533,True
ruf75-320-134.cnf,164,True
ruf75-320-134.cnf,90,True
ruf75-320-134.cnf,258,True
ruf75-320-134.cnf,366,True
ruf75-320-134.cnf,2410,True
ruf75-320-134.cnf,367,True
ruf75-320-134.cnf,479,True
ruf75-320-134.cnf,2277,True
ruf75-320-134.cnf,427,True
ruf75-320-134.cnf,2577,True
ruf75-320-134.cnf,2147,True
ruf75-320-134.cnf,1334,True
ruf75-320-134.cnf,243,True
ruf75-320-134.cnf,1659,True
ruf75-320-134.cnf,4063,True
ruf75-320-134.cnf,4442,True
ruf75-320-134.cnf,157,True
ruf75-320-134.cnf,1700,True
ruf75-320-134.cnf,879,True
ruf75-320-134.cnf,5000,False
ruf75-320-134.cnf,697,True
ruf75-320-134.cnf,306,True
ruf75-320-134.cnf,1500,True
ruf75-320-134.cnf,3241,True
ruf75-320-134.cnf,1320,True
ruf75-320-134.cnf,847,True
ruf75-320-134.cnf,1720,True
ruf75-320-134.cnf,805,True
ruf75-320-134.cnf,1934,True
ruf75-320-134.cnf,323,True
ruf75-320-134.cnf,2639,True
ruf75-320-134.cnf,475,True
ruf75-320-134.cnf,1293,True
ruf75-320-134.cnf,2596,True
ruf75-320-134.cnf,1481,True
ruf75-320-134.cnf,429,True
ruf75-320-134.cnf,4559,True
ruf75-320-134.cnf,1448,True
ruf75-320-134.cnf,304,True
ruf75-320-134.cnf,1513,True
ruf75-320-134.cnf,234,True
ruf75-320-134.cnf,756,True
ruf75-320-134.cnf,1676,True
ruf75-320-134.cnf,3227,True
ruf75-320-134.cnf,1586,True
ruf75-320-134.cnf,2312,True
ruf75-320-134.cnf,790,True
ruf75-320-134.cnf,1523,True
ruf75-320-134.cnf,488,True
ruf75-320-134.cnf,1652,True
ruf75-320-134.cnf,2644,True
ruf75-320-134.cnf,362,True
ruf75-320-134.cnf,789,True
ruf75-320-134.cnf,450,True
ruf75-320-134.cnf,353,True
ruf75-320-134.cnf,710,True
ruf75-320-134.cnf,1273,True
ruf75-320-134.cnf,3482,True
ruf75-320-134.cnf,5000,False
ruf75-320-134.cnf,1662,True
ruf75-320-134.cnf,3245,True
ruf75-320-134.cnf,115,True
ruf75-320-134.cnf,314,True
ruf75-320-134.cnf,3605,True
ruf75-320-134.cnf,607,True
ruf75-320-134.cnf,1355,True
ruf75-320-134.cnf,3231,True
ruf75-320-134.cnf,1053,True
ruf75-320-134.cnf,2147,True
ruf75-320-134.cnf,229,True
ruf75-320-134.cnf,200,True
ruf75-320-134.cnf,1645,True
ruf75-320-134.cnf,2972,True
ruf75-320-134.cnf,250,True
ruf75-320-134.cnf,1287,True
ruf75-320-134.cnf,670,True
ruf75-320-134.cnf,162,True
ruf75-320-134.cnf,398,True
ruf75-320-134.cnf,135,True
ruf75-320-134.cnf,1418,True
ruf75-320-134.cnf,1652,True
ruf75-320-134.cnf,179,True
ruf75-320-134.cnf,395,True
ruf75-320-134.cnf,3475,True
ruf75-320-134.cnf,2180,True
ruf75-320-134.cnf,2752,True
ruf75-320-134.cnf,1895,True
ruf75-320-134.cnf,2912,True
ruf75-320-134.cnf,2954,True
ruf75-320-134.cnf,296,True
ruf75-320-134.cnf,227,True
ruf75-320-134.cnf,394,True
ruf75-320-134.cnf,1871,True
ruf75-320-134.cnf,1706,True
ruf75-320-134.cnf,2857,True
ruf75-320-134.cnf,506,True
ruf75-320-134.cnf,5000,False
ruf75-320-134.cnf,174,True
ruf75-320-134.cnf,1993,True
ruf75-320-134.cnf,252,True
ruf75-320-134.cnf,1374,True
ruf75-320-134.cnf,4833,True
ruf75-320-134.cnf,1851,True
ruf75-320-134.cnf,2369,True
ruf75-320-134.cnf,423,True
ruf75-320-134.cnf,5000,False
ruf75-320-134.cnf,2380,True
ruf75-320-134.cnf,1322,True
ruf75-320-134.cnf,718,True
ruf75-320-134.cnf,205,True
ruf75-320-134.cnf,356,True
ruf75-320-134.cnf,1425,True
ruf75-320-134.cnf,1375,True
ruf75-320-134.cnf,809,True
ruf75-320-134.cnf,1144,True
ruf75-320-134.cnf,134,True
ruf75-320-134.cnf,1354,True
ruf75-320-134.cnf,2069,True
ruf75-320-134.cnf,1141,True
ruf75-320-134.cnf,3238,True
ruf75-320-134.cnf,1941,True
ruf75-320-134.cnf,1355,True
ruf75-320-134.cnf,1419,True
ruf75-320-134.cnf,436,True
ruf75-320-134.cnf,553,True
ruf75-320-134.cnf,1780,True
ruf75-320-134.cnf,205,True
ruf75-320-134.cnf,2480,True
ruf75-320-134.cnf,3469,True
ruf75-320-134.cnf,1189,True
ruf75-320-134.cnf,1687,True
ruf75-320-134.cnf,1110,True
ruf75-320-134.cnf,1132,True
ruf75-320-134.cnf,2154,True
ruf75-320-134.cnf,803,True
ruf75-320-134.cnf,2785,True
ruf75-320-134.cnf,1615,True
ruf75-320-134.cnf,124,True
ruf75-320-134.cnf,1859,True
ruf75-320-134.cnf,799,True
ruf75-320-134.cnf,315,True
ruf75-320-134.cnf,1133,True
ruf75-320-134.cnf,135,True
ruf75-320-134.cnf,694,True
ruf75-320-134.cnf,583,True
ruf75-320-134.cnf,3664,True
ruf75-320-134.cnf,343,True
ruf75-320-134.cnf,85,True
ruf75-320-134.cnf,1565,True
ruf75-320-134.cnf,1060,True
ruf75-320-134.cnf,4366,True
ruf75-320-134.cnf,2677,True
ruf75-320-134.cnf,192,True
ruf75-320-134.cnf,852,True
ruf75-320-134.cnf,3443,True
ruf75-320-134.cnf,5000,False
ruf75-320-134.cnf,648,True
ruf75-320-134.cnf,850,True
ruf75-320-134.cnf,695,True
ruf75-320-134.cnf,847,True
ruf75-320-134.cnf,498,True
ruf75-320-134.cnf,1432,True
ruf75-320-134.cnf,2749,True
ruf75-320-134.cnf,1058,True
ruf75-320-134.cnf,2645,True
ruf75-320-134.cnf,1659,True
ruf75-320-134.cnf,1408,True
ruf75-320-134.cnf,5000,False
ruf75-320-134.cnf,3177,True
ruf75-320-134.cnf,1303,True
ruf75-320-134.cnf,1369,True
ruf75-320-134.cnf,2600,True
ruf75-320-134.cnf,361,True
ruf75-320-134.cnf,399,True
ruf75-320-134.cnf,2488,True
ruf75-320-134.cnf,2279,True
ruf75-320-134.cnf,421,True
ruf75-320-134.cnf,3826,True
ruf75-320-134.cnf,2227,True
ruf75-320-134.cnf,2524,True
ruf75-320-134.cnf,5000,False
ruf75-320-134.cnf,426,True
ruf75-320-134.cnf,1924,True
ruf75-320-134.cnf,101,True
ruf75-320-134.cnf,309,True
ruf75-320-134.cnf,1305,True
ruf75-320-134.cnf,2157,True
ruf75-320-134.cnf,3253,True
ruf75-320-134.cnf,1390,True
ruf75-320-134.cnf,2688,True
ruf75-320-134.cnf,164,True
ruf75-320-134.cnf,1299,True
ruf75-320-134.cnf,1746,True
ruf75-320-134.cnf,1121,True
ruf75-320-134.cnf,2962,True
ruf75-320-134.cnf,2997,True
ruf75-320-134.cnf,2650,True
ruf75-320-134.cnf,5000,False
ruf75-320-134.cnf,1758,True
ruf75-320-134.cnf,507,True
ruf75-320-134.cnf,2273,True
ruf75-320-134.cnf,644,True
ruf75-320-134.cnf,1517,True
ruf75-320-134.cnf,332,True
ruf75-320-134.cnf,5000,False
ruf75-320-134.cnf,5000,False
ruf75-320-134.cnf,5000,False
ruf75-320-134.cnf,928,True
ruf75-320-134.cnf,1834,True
ruf75-320-134.cnf,731,True
ruf75-320-134.cnf,141,True
ruf75-320-134.cnf,993,True
ruf75-320-134.cnf,342,True
ruf75-320-134.cnf,3298,True
ruf75-320-134.cnf,1104,True
ruf75-320-134.cnf,5000,False
ruf75-320-134.cnf,5000,False
ruf75-320-134.cnf,5000,False
ruf75-320-134.cnf,353,True
ruf75-320-134.cnf,1125,True
ruf75-320-134.cnf,706,True
ruf75-320-134.cnf,379,True
ruf75-320-134.cnf,231,True
ruf75-320-134.cnf,1176,True
ruf75-320-134.cnf,1526,True
ruf75-320-134.cnf,5000,False
ruf75-320-134.cnf,3903,True
ruf75-320-134.cnf,3464,True
ruf75-320-134.cnf,1614,True
ruf75-320-134.cnf,297,True
ruf75-320-134.cnf,451,True
ruf75-320-134.cnf,2192,True
ruf75-320-134.cnf,347,True
ruf75-320-134.cnf,3563,True
ruf75-320-134.cnf,463,True
ruf75-320-134.cnf,3617,True
ruf75-320-134.cnf,1536,True
ruf75-320-134.cnf,438,True
ruf75-320-134.cnf,2772,True
ruf75-320-134.cnf,5000,False
ruf75-320-134.cnf,1394,True
